Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/active_games,6418,524,5,413.68307586475436,1.3746519998676376,5030.286038999975,90545.87737612963,3.3700583489058475,0.27514966887296105,5,6,7,7,18,5000,5000,5000,5000,5000,5000
GET,/leaderboard,9132,737,3,407.7938775494958,1.6479480000270996,5027.872788999957,558.0119360490582,4.79516560333565,0.3869948587010922,3,3,4,5,16,5000,5000,5000,5000,5000,5000
POST,/login,26,0,2,2.1891753076881915,1.674460000003819,8.732975000043552,104.6923076923077,0.013652464486062953,0.0,2,2,2,2,2,3,9,9,9,9,9
POST,/signup,112,86,5000.0,3845.358537705359,3.4412370000040937,5038.435157000038,8.589285714285714,0.058810616247655795,0.045158151761592845,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
,Aggregated,15688,1347,3,434.0724595527164,1.3746519998676376,5038.435157000038,37367.59880163182,8.237687032975215,0.7073026793356461,3,5,6,7,18,5000,5000,5000,5000,5000,5000
